Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2023-09-18,"Crack of Delight",5.7,"not so delightful in September. ",https://www.mountainproject.com/route/105757975/crack-of-delight,1,"Colorado > Alpine Rock > RMNP - Rock > Long's Peak > Lower East Face",1.7,-1,Lead,Onsight,"Trad, Alpine",,600,1800
2023-09-10,"East Face Left",5.5,"5.7 roof, fun romp w tr",https://www.mountainproject.com/route/105752749/east-face-left,5,"Colorado > Boulder > Flatirons > North > Third Flatiron",3.4,4,Lead,,Trad,,1300,1500
2023-09-09,"Self Serve",5.10d,,https://www.mountainproject.com/route/106016375/self-serve,1,"Colorado > Golden > Clear Creek Canyon > Convenience Cliff",2.5,3,Lead,Fell/Hung,Sport,,45,3500
2023-09-09,"Five and Dime",5.10,,https://www.mountainproject.com/route/106016411/five-and-dime,1,"Colorado > Golden > Clear Creek Canyon > Convenience Cliff",2.8,2,Lead,Redpoint,Sport,,50,3000
2023-09-09,Kwik-E-Mart,5.11b,,https://www.mountainproject.com/route/106016391/kwik-e-mart,2,"Colorado > Golden > Clear Creek Canyon > Convenience Cliff",2.6,3,Lead,Redpoint,Sport,5.11,50,4900
2023-09-02,"Wild Hops",5.12a,"close rp burn, really fun. tweaked right shoulder.",https://www.mountainproject.com/route/106977639/wild-hops,2,"Colorado > Pagosa Springs > Piedra River > Piedra River -  Lower West",3.8,4,Lead,Fell/Hung,Sport,,60,6600
2023-09-02,"Different Strokes",5.9+,,https://www.mountainproject.com/route/107197222/different-strokes,1,"Colorado > Pagosa Springs > Piedra River > Piedra River -  Lower West",2.3,2,Lead,Onsight,Sport,,50,2500
2023-09-01,"Hopstacle Course",5.11a,,https://www.mountainproject.com/route/107858816/hopstacle-course,1,"Colorado > Pagosa Springs > Piedra River > Piedra River -  Lower West",3.1,3,Lead,Onsight,Sport,,65,4600
2023-09-01,"Taster's Choice",5.10a,,https://www.mountainproject.com/route/107281683/tasters-choice,1,"Colorado > Pagosa Springs > Piedra River > Piedra River -  Lower West",2.8,3,Lead,Onsight,Sport,,60,2600
2023-09-01,"Van Gogh's",5.10+,,https://www.mountainproject.com/route/106977649/van-goghs,1,"Colorado > Pagosa Springs > Piedra River > Piedra River -  Lower West",3.5,4,Lead,Redpoint,Sport,,60,3300
2023-09-01,"Practice Wall",5.8+,,https://www.mountainproject.com/route/106976742/practice-wall,1,"Colorado > Pagosa Springs > Piedra River > Piedra River -  Lower West",2.3,1,Lead,Onsight,"Sport, TR",,60,2200
2023-08-06,"5.10c sport",5.10c,"Recovery Wall 5.10c, variation to 13a",https://www.mountainproject.com/route/112166317/510c-sport,1,"* In Progress > Generic Area",2.6,-1,Lead,Onsight,Sport,,,3200
2023-08-06,"5.11c sport",5.11c,"Dr. Hypocrite p4,  first 11c onsight!",https://www.mountainproject.com/route/112166332/511c-sport,1,"* In Progress > Generic Area",2.6,-1,Lead,Onsight,Sport,,,5200
2023-08-06,"5.11a sport",5.11a,"Dr. Hypocrite p3 clean",https://www.mountainproject.com/route/112166325/511a-sport,1,"* In Progress > Generic Area",2.9,-1,Follow,,Sport,,,4600
2023-08-06,"5.10b sport",5.10b,"Dr. Hypocrite p2",https://www.mountainproject.com/route/112166299/510b-sport,1,"* In Progress > Generic Area",2.8,-1,Lead,Onsight,Sport,,,2900
2023-08-06,"5.8 sport",5.8,"Dr. Hypocrite p1",https://www.mountainproject.com/route/112166269/58-sport,1,"* In Progress > Generic Area",2.6,-1,Follow,,Sport,,,2100
2023-07-29,Rewritten,5.7,"w Michael,  great day
started up gmas challenge thinking it was green spur haha, ran it out p1 without the right gear, bailed and went to rewritten.",https://www.mountainproject.com/route/105750106/rewritten,6,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Lumpe to the top",3.7,4,Lead,,Trad,,650,1800
2023-07-25,"Northeast Ridge",5.6,"sherpa mode w/ Amelia
approach: 3hr
climb: 3hr
descent: 4hr
big day, great views.
combined p2layback, p3,and p4 for 200+ft lead up the best rock on the route, amazing climbing :)",https://www.mountainproject.com/route/105750940/northeast-ridge,5,"Colorado > Alpine Rock > RMNP - Rock > Sharkstooth",3.5,4,Lead,Onsight,"Trad, Alpine",,780,1600
2023-07-16,"Alice in Bucketland","5.8+ R","best 5.8 in colorado?",https://www.mountainproject.com/route/105762483/alice-in-bucketland,2,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Tower One",3.6,4,Lead,Onsight,Trad,,290,2200
2023-07-16,"Rosy Crucifixion","5.10b PG13","good day w/ chase",https://www.mountainproject.com/route/105748777/rosy-crucifixion,3,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Tower Two",3.8,4,Lead,Fell/Hung,Trad,,170,2900
2023-07-15,"Fractured Fairytales",5.7,"W/ Jamal, great day, got hailed on hiking out.",https://www.mountainproject.com/route/106911087/fractured-fairytales,7,"Colorado > South Platte > Goose Creek/Molly Gulch Campground > Sheeprock > Helen's Dome",2.6,2,Lead,,Sport,,800,1800
2023-07-09,"The Devil's Own Stone",5.12a,"Tough beta, have everything dialed, fun :)",https://www.mountainproject.com/route/110345389/the-devils-own-stone,5,"Colorado > South Platte > Devil's Head > Devil's Gate Sector > Devil's Gate",3.9,4,Lead,Fell/Hung,Sport,5.12a,70,6600
2023-07-09,"Devil Dog",5.11b,"Warm up",https://www.mountainproject.com/route/110344979/devil-dog,1,"Colorado > South Platte > Devil's Head > Devil's Gate Sector > Devil's Gate",3.9,4,,,Sport,,80,4900
2023-07-01,"5.11d sport",5.11d,"Tc the machinist, awesome climb, super sustained, broke a foot off on last hard move, heartbreaker",https://www.mountainproject.com/route/112166335/511d-sport,2,"* In Progress > Generic Area",3.2,-1,Lead,Fell/Hung,Sport,,,5500
2023-07-01,"5.10a sport",5.10a,"Tc Dr. On, really fun",https://www.mountainproject.com/route/112166313/510a-sport,1,"* In Progress > Generic Area",2.7,-1,Lead,Redpoint,Sport,,,2600
2023-06-25,"Season Opener",5.11c,"slipped off last move of last crux, pumped and climbed hands first. awesome route, super fun style",https://www.mountainproject.com/route/105806703/season-opener,1,"Colorado > South Platte > Devil's Head > The Crimpfest Wall",3.8,4,Lead,Fell/Hung,Sport,,85,5200
2023-06-25,"Dave's Dilemma",5.11a,,https://www.mountainproject.com/route/105749629/daves-dilemma,1,"Colorado > South Platte > Devil's Head > The Crimpfest Wall",3.6,4,Lead,Onsight,"Trad, Sport",,100,4600
2023-06-18,"Windows On the World",5.12b,"swapped with Chase",https://www.mountainproject.com/route/105761151/windows-on-the-world,4,"Colorado > Empire > Ra",3.7,4,Lead,Fell/Hung,Sport,,400,6900
2023-06-12,Undertow,5.12b,,https://www.mountainproject.com/route/105752323/undertow,1,"Colorado > Boulder > Flatirons > South > The Slab",3.7,4,Lead,Fell/Hung,Sport,,80,6900
2023-06-11,"Just Another Boy's Climb",5.12a,"Led through crack, no endurance, fun climb",https://www.mountainproject.com/route/105761499/just-another-boys-climb,2,"Colorado > Boulder > Flatirons > South > The Slab",3.7,4,Lead,Fell/Hung,Trad,,100,6600
2023-06-01,"Just Another Boy's Climb",5.12a,"little damp, really really good continous climbing, top out the slab",https://www.mountainproject.com/route/105761499/just-another-boys-climb,2,"Colorado > Boulder > Flatirons > South > The Slab",3.7,4,Lead,Fell/Hung,Trad,,100,6600
2023-06-01,Undertow,5.12b,"feeling better, getting beta dialed. totally dry In the rain. think second crux is hardest this time.",https://www.mountainproject.com/route/105752323/undertow,1,"Colorado > Boulder > Flatirons > South > The Slab",3.7,4,Lead,Fell/Hung,Sport,,80,6900
2023-05-28,"Girls With Guns",5.10d,"warm up",https://www.mountainproject.com/route/106956500/girls-with-guns,1,"Colorado > Glenwood Springs > Main Elk Creek > Pup Tent of Solitude",3.4,4,Lead,Redpoint,Sport,,75,3500
2023-05-28,Gigantor,5.11d,epic,https://www.mountainproject.com/route/112537447/gigantor,1,"Colorado > Glenwood Springs > Main Elk Creek > Main Elk Crag",3.9,4,Lead,Fell/Hung,Sport,,90,5500
2023-05-27,"5.11b/c sport",5.11b/c,"TC, ask the dust, a fight but not max",https://www.mountainproject.com/route/118779783/511bc-sport,1,"* In Progress > Generic Area",3.0,-1,Lead,Onsight,Sport,,,5100
2023-05-27,"5.12a sport",5.12a,"Tc, Van loomenstein, really fun",https://www.mountainproject.com/route/112166339/512a-sport,1,"* In Progress > Generic Area",3.0,-1,Lead,Fell/Hung,Sport,,,6600
2023-05-27,"5.10a sport",5.10a,"Tc Dr. On",https://www.mountainproject.com/route/112166313/510a-sport,1,"* In Progress > Generic Area",2.7,-1,Lead,Onsight,Sport,,,2600
2023-05-27,"5.11c sport",5.11c,"Tc, 8c, beta burn, then rp, awesome climb zig zag to the top",https://www.mountainproject.com/route/112166332/511c-sport,2,"* In Progress > Generic Area",2.6,-1,Lead,Redpoint,Sport,,,5200
2023-05-23,Undertow,5.12b,"linked first 3 bolts, and final crux to finish, really fun climbing, super dynamic, resting in the steep is essential. 3 seperate dynamic moves off bad holds, hardest for last",https://www.mountainproject.com/route/105752323/undertow,2,"Colorado > Boulder > Flatirons > South > The Slab",3.7,4,Lead,Fell/Hung,Sport,,80,6900
2023-05-23,"Family Man",5.12a/b,"not a great warm up, reachy, fun though",https://www.mountainproject.com/route/106196513/family-man,1,"Colorado > Boulder > Flatirons > South > The Slab",3.0,3,TR,,Sport,,90,6800
2023-05-13,"DK Superstar",5.12c,"awesome route, techy and sustained with 1 good rest to break up the difficulties. extension is lichen covered 5.10 slab climbing, what a journey. hardest lead to date.",https://www.mountainproject.com/route/120231682/dk-superstar,1,"Colorado > Boulder > Flatirons > South > Shanahan Crag",3.8,4,Lead,Fell/Hung,Sport,,145,7200
2023-05-13,"Wait For It...",5.11b,"Damp today, fun route though, holds still breaking off",https://www.mountainproject.com/route/123445276/wait-for-it,1,"Colorado > Boulder > Flatirons > South > Shanahan Crag",3.5,4,Lead,Redpoint,Sport,,131,4900
2023-05-09,"Eiger Direct",5.11d,"fun, sequential",https://www.mountainproject.com/route/105751756/eiger-direct,3,"Colorado > Golden > Clear Creek Canyon > Little Eiger",3.2,3,Lead,Fell/Hung,Sport,,85,5500
2023-05-07,"Surfing with the Devil",5.11b,,https://www.mountainproject.com/route/110345427/surfing-with-the-devil,2,"Colorado > South Platte > Devil's Head > Devil's Gate Sector > Devil's Gate",2.9,4,Lead,Redpoint,Sport,,60,4900
2023-05-07,"Devil's Vista",5.11c,,https://www.mountainproject.com/route/110345416/devils-vista,1,"Colorado > South Platte > Devil's Head > Devil's Gate Sector > Devil's Gate",3.6,4,Lead,Fell/Hung,Sport,,60,5200
2023-05-07,"The Devil's Own Stone",5.12a,,https://www.mountainproject.com/route/110345389/the-devils-own-stone,2,"Colorado > South Platte > Devil's Head > Devil's Gate Sector > Devil's Gate",3.9,4,Lead,Fell/Hung,Sport,5.12a,70,6600
2023-05-06,"The Green Zone",5.11a,,https://www.mountainproject.com/route/105764079/the-green-zone,1,"Colorado > Golden > Clear Creek Canyon > Little Eiger",2.7,3,Lead,Onsight,Sport,,100,4600
2023-05-06,"The Naked Hedge",5.10,,https://www.mountainproject.com/route/105763197/the-naked-hedge,1,"Colorado > Golden > Clear Creek Canyon > Little Eiger",2.5,2,Lead,,Sport,,100,3000
2023-04-18,"Light My Fire",5.12a,"tough style, fun route ",https://www.mountainproject.com/route/114441945/light-my-fire,2,"Colorado > South Platte > Staunton State Park > Staunton Rocks > The Dungeon",3.8,4,Lead,Fell/Hung,Sport,,80,6600
2023-04-18,Unshackled,5.10+,,https://www.mountainproject.com/route/112101317/unshackled,1,"Colorado > South Platte > Staunton State Park > Staunton Rocks > The Dungeon",3.5,3,Lead,Onsight,Sport,,100,3300
2023-04-09,Catitude,5.11a/b,"contrived to not use huge rests along bolt line, but fun roof pull",https://www.mountainproject.com/route/111728490/catitude,1,"Colorado > Canon City > Shelf Road > The Gallery > The Zoo at the Far Side",3.1,2,Lead,Flash,Sport,5.10+,70,4800
2023-04-08,Trick-or-Treat,5.11c,"peeled off finishing jug and took a 20 footer on last burn, pretty loose and sandy rock but good  fun. broke off a fist size hold second burn, needs more traffic to clean up.",https://www.mountainproject.com/route/105759012/trick-or-treat,4,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",3.0,3,Lead,Fell/Hung,"Sport, TR",,130,5200
2023-04-08,"Little Mecca",5.12b,Tough!,https://www.mountainproject.com/route/105748687/little-mecca,2,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",3.4,3,Lead,Fell/Hung,Sport,,,6900
2023-04-08,Suburbia,5.10b/c,,https://www.mountainproject.com/route/105749122/suburbia,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Contest Wall",3.4,4,Lead,Onsight,Sport,,,3100
2023-04-07,"LaCholla Jackson",5.8+,,https://www.mountainproject.com/route/105753220/lacholla-jackson,1,"Colorado > Canon City > Shelf Road > Cactus Cliff > E. Cactus Cliff Far Right (Funkdemental and right)",3.1,3,Lead,Onsight,Sport,,75,2200
2023-04-07,"Politically Incorrect",5.10c,"grabbed chains twice!",https://www.mountainproject.com/route/105754477/politically-incorrect,2,"Colorado > Canon City > Shelf Road > Cactus Cliff > E. Cactus Cliff Far Right (Funkdemental and right)",3.1,4,Lead,Fell/Hung,Sport,,80,3200
2023-04-07,Barney,5.9+,,https://www.mountainproject.com/route/105749929/barney,1,"Colorado > Canon City > Shelf Road > Sand Gulch > Free Form Wall",2.7,2,Lead,Onsight,Sport,,,2500
2023-04-07,Funkdemental,5.11a,,https://www.mountainproject.com/route/105754546/funkdemental,2,"Colorado > Canon City > Shelf Road > Cactus Cliff > E. Cactus Cliff Far Right (Funkdemental and right)",3.4,4,Lead,Redpoint,Sport,,85,4600
2023-04-01,"This Ain't Naturita, Pilgrim",5.9,,https://www.mountainproject.com/route/105748589/this-aint-naturita-pilgrim,1,"Colorado > Golden > North Table Mountain/Golden Cliffs > Overhang Area",2.3,2,Lead,Redpoint,"Sport, TR",,70,2400
2023-04-01,"Mr. Peery Take A Bow",5.11b,"1 hang, fun steep arete",https://www.mountainproject.com/route/105749755/mr-peery-take-a-bow,1,"Colorado > Golden > North Table Mountain/Golden Cliffs > Overhang Area",2.1,2,Lead,Fell/Hung,Sport,,,4900
2023-04-01,"Here Today Gone Tomorrow",5.10-,,https://www.mountainproject.com/route/105755440/here-today-gone-tomorrow,1,"Colorado > Golden > North Table Mountain/Golden Cliffs > Overhang Area",1.7,1,Lead,Onsight,Sport,,,2700
2023-03-21,"Flight 67 to Stockholm",5.11a/b,"trs rp",https://www.mountainproject.com/route/105751630/flight-67-to-stockholm,3,"Colorado > Golden > North Table Mountain/Golden Cliffs > Industrial Buttress",2.9,3,TR,,Sport,,,4800
2023-03-19,Birthstone,5.12a,"checked out the moves as the sun was going down, feels great, fun climbing, will be back ",https://www.mountainproject.com/route/122228120/birthstone,1,"Colorado > Boulder > Flatirons > South > Shanahan Crag",3.7,-1,Lead,Fell/Hung,Sport,,138,6600
2023-03-19,"Wait For It...",5.11b,"fell after clipping last bolt, trying to go direct, line of least resistance includes left flake, really unique climb, amazing fun.",https://www.mountainproject.com/route/123445276/wait-for-it,1,"Colorado > Boulder > Flatirons > South > Shanahan Crag",3.5,4,Lead,Fell/Hung,Sport,,131,4900
2023-03-13,Spike,5.10-,"trs onsite",https://www.mountainproject.com/route/105751045/spike,1,"Colorado > Golden > North Table Mountain/Golden Cliffs > MBA Buttress",2.4,2,TR,,Sport,,,2700
2023-03-13,"Shark Attack! or Shark Infested Waters",5.10d,"trs hung, fun varied",https://www.mountainproject.com/route/106626836/shark-attack-or-shark-infested-waters,1,"Colorado > Golden > North Table Mountain/Golden Cliffs > MBA Buttress",2.4,2,TR,,Trad,,,3500
2023-03-13,"Major Bolt Achievement (MBA)",5.11a/b,"trs 2nd go rp, really fun!",https://www.mountainproject.com/route/105751654/major-bolt-achievement-mba,2,"Colorado > Golden > North Table Mountain/Golden Cliffs > MBA Buttress",3.0,3,TR,,Sport,,60,4800
2023-03-11,"Catching the Quarry",5.11a,"trs onsite, super fun line",https://www.mountainproject.com/route/106981267/catching-the-quarry,1,"Colorado > Golden > North Table Mountain/Golden Cliffs > North Quarry / Pinnacle Area",3.0,3,TR,,Sport,,60,4600
2023-03-11,"Girly Man",5.12c,"stayed right of roof problem on crimps, not sure how you would pull the bulge direct. big reach off kneebar?",https://www.mountainproject.com/route/108515547/girly-man,1,"Colorado > Golden > North Table Mountain/Golden Cliffs > North Quarry / Pinnacle Area",2.3,2,TR,,Sport,,50,7200
2023-03-06,"Wind Ridge",5.7,"fun day with Jamal",https://www.mountainproject.com/route/105748361/wind-ridge,3,"Colorado > Boulder > Eldorado Canyon State Park > The Wind Tower > Wind Tower - SW Face",3.1,3,Lead,Onsight,Trad,5.6,,1800
2023-03-06,"The Bomb",5.4,,https://www.mountainproject.com/route/105750568/the-bomb,2,"Colorado > Boulder > Eldorado Canyon State Park > The Wind Tower > Wind Tower - SW Face",2.1,3,Lead,Onsight,"Trad, TR",,,1400
2023-03-04,"The Walking Dead",5.12b/c,"cut up finger ripping on sharp crimp, found 2 ways through crux
1. rh sharp 2finger crimp, lf small point out left, lh undercling bump to far left crimp, rf up and throw for jug.
2. rh up to crimp on right face, lh sharp crimp, lf to big foot out left, rf up, left drop knee, span left hand to jug
 ",https://www.mountainproject.com/route/114270018/the-walking-dead,4,"Colorado > Golden > Clear Creek Canyon > The Graveyard",2.7,3,Lead,Fell/Hung,Sport,,40,7100
2023-03-04,Ugoogoly,5.10-,,https://www.mountainproject.com/route/114012513/ugoogoly,1,"Colorado > Golden > Clear Creek Canyon > The Graveyard",2.8,3,Lead,,Sport,,85,2700
2023-02-25,"Black Dog",5.9+,,https://www.mountainproject.com/route/106119076/black-dog,1,"Colorado > Golden > Clear Creek Canyon > The Dog House",2.1,1,Lead,Onsight,Sport,,75,2500
2023-02-25,"The Walking Dead",5.12b/c,"linked bottom to crux move left, then from crux to top, confusing transition left to crimp with no feet",https://www.mountainproject.com/route/114270018/the-walking-dead,3,"Colorado > Golden > Clear Creek Canyon > The Graveyard",2.7,3,Lead,Fell/Hung,Sport,,40,7100
2023-02-13,"Night Stick",5.11b,yikes,https://www.mountainproject.com/route/106328578/night-stick,1,"Colorado > Golden > Clear Creek Canyon > Left Wire > G. Right Side",3.3,3,Lead,Fell/Hung,Sport,,60,4900
2023-02-13,Pervade,5.10c,,https://www.mountainproject.com/route/106328569/pervade,1,"Colorado > Golden > Clear Creek Canyon > Left Wire > G. Right Side",2.6,3,Lead,Onsight,Sport,,60,3200
2023-02-13,"Via Comatose Amigo",5.10a/b,,https://www.mountainproject.com/route/105750139/via-comatose-amigo,1,"Colorado > Golden > Clear Creek Canyon > High Wire Crag",2.6,2,Lead,Onsight,Sport,,125,2800
2023-02-12,"The Yellow Spur",5.9+,"swapped with curt, fun day",https://www.mountainproject.com/route/105748657/the-yellow-spur,6,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Tower One",3.8,4,Lead,Onsight,Trad,,,2500
2023-02-07,"City of the Dead",5.12a,"flashed slab, worked roof from handjam dyno to chains, getting established in the roof crack felt really hard",https://www.mountainproject.com/route/114012313/city-of-the-dead,1,"Colorado > Golden > Clear Creek Canyon > The Graveyard",3.2,3,Lead,Fell/Hung,Sport,,85,6600
2023-02-07,"Ernest Stemmingway",5.11a,"warm up, took a nice big whip at the chains ",https://www.mountainproject.com/route/114028771/ernest-stemmingway,1,"Colorado > Golden > Clear Creek Canyon > The Graveyard",3.0,3,Lead,Fell/Hung,Sport,,80,4600
2023-02-07,"Dia de Los Muertos",5.12a,"redpoint hanging draws, fun!",https://www.mountainproject.com/route/114149484/dia-de-los-muertos,1,"Colorado > Golden > Clear Creek Canyon > The Graveyard",3.4,3,Lead,Redpoint,Sport,,60,6600
2023-02-05,"Pale Face",5.11+,"Awesome! long and sustained, really fun",https://www.mountainproject.com/route/105932175/pale-face,1,"New Mexico > Santa Fe Area > Diablo Canyon > Winter Wall",3.7,4,Lead,Fell/Hung,Sport,,110,5300
2023-02-05,"Post Moderate",5.9,,https://www.mountainproject.com/route/105796992/post-moderate,1,"New Mexico > Santa Fe Area > Diablo Canyon > Winter Wall",3.6,4,Lead,Onsight,Sport,,135,2400
2023-02-05,"Grape Ape",5.10c,,https://www.mountainproject.com/route/105796988/grape-ape,1,"New Mexico > Santa Fe Area > Diablo Canyon > Winter Wall",3.7,4,Lead,Onsight,Sport,,130,3200
2023-01-22,"Ernest Stemmingway",5.11a,"Felt easy, have come a long way since last time :)",https://www.mountainproject.com/route/114028771/ernest-stemmingway,1,"Colorado > Golden > Clear Creek Canyon > The Graveyard",3.0,3,Lead,Redpoint,Sport,,80,4600
2023-01-22,Ugoogoly,5.10-,,https://www.mountainproject.com/route/114012513/ugoogoly,1,"Colorado > Golden > Clear Creek Canyon > The Graveyard",2.8,3,Lead,Onsight,Sport,,85,2700
2023-01-22,"Dia de Los Muertos",5.12a,"Beta burn, then absolutely punted off the finishing jug not seeing a huge foot -_- fun climb though, short but nice crimps",https://www.mountainproject.com/route/114149484/dia-de-los-muertos,2,"Colorado > Golden > Clear Creek Canyon > The Graveyard",3.4,3,Lead,Fell/Hung,Sport,,60,6600
